"ring_diagonalLength [mm]","w [mm]","Freq [GHz]","re(S(FloquetPort1:1,FloquetPort1:1)) []","im(S(FloquetPort1:1,FloquetPort1:1)) []"
0.3,0.1,29.67,-0.882364025411022,0.469952461973251
0.3,0.1,29.68,-0.882268781353982,0.470130999747164
0.3,0.1,29.69,-0.882173480479681,0.470309556895239
0.3,0.1,29.7,-0.882078122756169,0.470488133420084
0.3,0.1,29.71,-0.88198270815147,0.470666729324291
0.3,0.1,29.72,-0.88188723663358,0.470845344610436
0.3,0.1,29.73,-0.881791708170469,0.47102397928109
0.3,0.1,29.74,-0.881696122730082,0.471202633338797
0.3,0.1,29.75,-0.881600480280336,0.471381306786102
0.3,0.1,29.76,-0.881504780789122,0.471559999625525
0.3,0.1,29.77,-0.881409024224304,0.471738711859575
0.3,0.1,29.78,-0.881313210553719,0.471917443490753
0.3,0.1,29.79,-0.881217339745182,0.472096194521533
0.3,0.1,29.8,-0.881121411766473,0.472274964954391
0.3,0.1,29.81,-0.881025426585354,0.472453754791778
0.3,0.1,29.82,-0.880929384169553,0.472632564036131
0.3,0.1,29.83,-0.880833284486778,0.47281139268988
0.3,0.1,29.84,-0.880737127504704,0.472990240755433
0.3,0.1,29.85,-0.880640913190983,0.473169108235189
0.3,0.1,29.86,-0.880544641513239,0.47334799513153
0.3,0.1,29.87,-0.880448312439069,0.473526901446823
0.3,0.1,29.88,-0.880351925936044,0.473705827183424
0.3,0.1,29.89,-0.880255481971706,0.473884772343669
0.3,0.1,29.9,-0.880158980513574,0.474063736929883
0.3,0.1,29.91,-0.880062421529134,0.47424272094438
0.3,0.1,29.92,-0.879965804985852,0.474421724389449
0.3,0.1,29.93,-0.879869130851161,0.474600747267373
0.3,0.1,29.94,-0.87977239909247,0.47477978958042
0.3,0.1,29.95,-0.87967560967716,0.474958851330835
0.3,0.1,29.96,-0.879578762572583,0.475137932520857
0.3,0.1,29.97,-0.879481857746067,0.475317033152707
0.3,0.1,29.98,-0.879384895164913,0.475496153228588
0.3,0.1,29.99,-0.879287874796391,0.475675292750692
0.3,0.1,30,-0.879190796607746,0.475854451721192
